theta_kw,kw,theta_ke,ke,theta_sst,sst,theta_rsm,rsm,theta_data,data
-28.4123611865034,0.101781284989681,-28.8356210774323,0.101618506860965,-28.0477428770176,0.100915315377782,-28.3928669091142,0.101376619709871,-29.5160235482833,0.0912912240748815
-26.4100226131616,0.1049229392556,-25.8563535911602,0.105660377358491,-25.9087624082565,0.101175801521094,-26.4309254778425,0.103591122677939,-26.7944136648791,0.0921518309737218
-25.160967661762,0.108536868345808,-23.8244028794181,0.114773498028952,-23.9626585977728,0.10190764354278,-25.1868212032427,0.106278372980848,-23.5622685941558,0.113874186587042
-23.3668049136535,0.115579923334111,-23.1656004870067,0.11667912759067,-22.6813291123067,0.10265188966653,-23.4142478562464,0.111534020013399,-21.0549225519042,0.117028022279389
-21.5094674208932,0.127006920713093,-20.9731925253755,0.127867017275593,-20.9026379069008,0.104431878312496,-21.2958457240696,0.118867876178761,-18.6329691015859,0.136036360375032
-19.2579195215063,0.142918475554014,-19.3370165745856,0.140880503144654,-18.5664464729348,0.111334761110269,-18.4433356440176,0.134403186830716,-16.1595989256232,0.16022326769617
-16.793021484467,0.16017909369736,-17.7475808117112,0.153398355274521,-16.9735886770489,0.122622493987129,-16.9405017193903,0.145338991073119,-13.6263966150463,0.177197446053989
-15.4284469999901,0.168372035214366,-17.3443793475031,0.157127651836162,-15.3048805099303,0.139867641437889,-15.895796654977,0.157663121005996,-11.1536751760977,0.174812517546134
-14.2191018880859,0.176883248895566,-16.1952551745102,0.165217356685261,-14.6222271688363,0.15199954237178,-14.7209316153254,0.164975224742844,-8.95045795626305,0.163464848091259
-12.5639235782111,0.184734817849363,-15.454372484028,0.170467058768187,-13.5223967859627,0.168605534007931,-13.54949183818,0.173668349023713,-6.76034091204211,0.157557955285582
-10.4943189434211,0.193283505511186,-14.1436464088398,0.177987421383648,-12.2455822035462,0.178337585751121,-11.2716922715084,0.177054690246848,-4.38765537266403,0.148190580194359
-8.8871534394816,0.197862144598202,-12.6571623260847,0.186388286396732,-10.6780078647379,0.179929445515807,-9.61900311223167,0.173376143165532,-1.69512251792862,0.160139775982103
-7.47203915928331,0.200096583193749,-11.2358771647514,0.192670716758266,-9.46440192501525,0.17385143550519,-8.42444281316895,0.168700849434645,0.72408626731962,0.143788244904138
-5.59484674677536,0.20188301405084,-9.28176795580109,0.2,-8.17494561405998,0.162400898788759,-6.13379851209886,0.160738239799228,3.29449560164586,0.155836741487902
-3.12561672724567,0.202540092067242,-6.6847406375031,0.201879210575856,-6.96133967433737,0.151927185109749,-3.24159248336456,0.155003699832437,5.86490493597212,0.174770093262388
-0.548087145455924,0.203176636395631,-5.85313761757402,0.202481635405045,-6.35453670447608,0.144763816168664,-1.42406256597342,0.152946083581083,8.13291317214234,0.18079434155427
1.87782304916973,0.203115035331593,-3.42541436464086,0.20377358490566,-4.91337965105548,0.133331368767741,0.785231750572692,0.152503347432325,10.4538416004898,0.18816328812559
4.37954293737744,0.202468224159198,-1.32596685082871,0.20377358490566,-2.48616777161027,0.122333064939005,2.53853799597121,0.154729756840393,13.008566698755,0.176472039741438
6.80545313200309,0.200958998090276,1.17768791455366,0.203600424373537,0.0168944790676022,0.119149345409634,3.7908995998273,0.156574306320157,15.6884935510702,0.153394136613252
9.00393424588259,0.197666141212627,3.64640883977903,0.20377358490566,2.36825598728015,0.121971278628849,6.11836547283983,0.160592136870138,18.2633499603693,0.114527610343569
10.7020713821206,0.192334849125007,6.18784530386743,0.20251572327044,4.94716860919068,0.133562912006241,8.20948823291953,0.168335592111919,20.9849598437736,0.0947336516702426
11.9605122955826,0.187591567194108,7.83051207398631,0.200516582986026,6.61587677630926,0.146717462243505,9.84076950153205,0.17549463563734,23.2529680799438,0.0801033343899581
13.931564328716,0.177716916628875,8.7377153684544,0.199369107120906,7.90533308726452,0.160718592446534,11.7509650027983,0.176746946458114,25.9664363953208,0.0757407194181446
16.1300454425955,0.164306364987882,10.211920721965,0.196930720907525,9.64989162561578,0.175327523650625,13.3143526753043,0.173365707242026,28.3937867485963,0.0706366585027151
18.0252877821467,0.150184321057254,11.202284318426,0.192498595378497,11.2319136541827,0.183030471031428,14.888750120152,0.163148938129217,,
20.2995785896083,0.133690636161176,13.0386740331492,0.184276729559749,12.8139356827497,0.175401948263,15.8906394032368,0.154254052660557,,
22.9529178649801,0.118598375471955,14.785737331575,0.172403424290577,13.6699613009469,0.165385635847544,16.991616637396,0.142809323215157,,
25.1261290809989,0.108249396713632,15.5417400769651,0.167454934622246,14.868397166423,0.151362798465906,18.12562318858,0.134585815492078,,
27.0466413184109,0.103623716814079,16.1465422732771,0.165303417375145,15.6420709529961,0.135321193473598,19.6284571132073,0.125856165478938,,
28.714454577216,0.101350077541417,17.3410266109934,0.153599163550917,17.9260099090019,0.117412771120886,21.9533540393401,0.11573853763944,,
,,19.3973540784544,0.139571271099821,19.540780034355,0.10864307096271,24.0085115431039,0.109383060224015,,
,,19.8509557256885,0.136473086263996,21.1454367768771,0.10395432038309,25.4691413404218,0.105365229674034,,
,,21.4385614910076,0.124854893129652,22.6708720205562,0.102868961452623,27.1255004238124,0.103417190619498,,
,,23.7569060773481,0.112578616352201,24.3648636447524,0.101862537717099,28.6069264577755,0.10087256460451,,
,,26.4088397790056,0.10440251572327,26.6403747817322,0.100915315377782,,,,
,,28.0913856504403,0.102048810310385,28.0360216124132,0.100915315377782,,,,
,,28.7717881212913,0.101618506860965,,,,,,
