theta_kw,kw,theta_ke,ke,theta_sst,sst,theta_rsm,rsm,theta_data,data
-29.3127568495436,0.00970573410932621,-29.6089155682722,0.00966326738175405,-29.6133347902182,0.00970478828099863,-29.0657594857834,0.00954334495708001,-29.9826224093133,0.015951500590635
-27.4491740820263,0.00990419168280785,-28.9362432543983,0.00973424066853601,-26.783691181161,0.00970478828099863,-27.2606185218928,0.00984101684118535,-27.5161572584422,0.0171438518085718
-26.1857894941018,0.0101398600513173,-27.815122731275,0.00981940861267439,-24.7588971615456,0.00985287972787702,-25.6938924022896,0.00997262844573046,-24.9832553358304,0.0222444653519681
-24.3106226845176,0.0111470322367367,-26.9182263127764,0.00996135518623825,-23.4746974980321,0.00989915830502652,-24.0079588605427,0.0102137691708366,-22.5832269566999,0.0279601807141412
-21.7411373535469,0.0130948106298036,-26.2455539989025,0.0100749124450894,-21.6312058034747,0.0101445750020314,-21.785591919149,0.0111653475706784,-20.0420204376205,0.0336664329714102
-19.5973655685358,0.016224135128323,-24.7507266347381,0.0106710880540578,-19.7877141089173,0.0106118483931286,-19.8040726265764,0.01225759770278,-17.5008139185411,0.0362214712955605
-18.0262798632085,0.018880262350072,-23.5548647434067,0.0112672636630262,-18.4383542087773,0.0114997114658484,-18.6053081926719,0.0133194497183572,-14.9596073994618,0.0384358378431573
-16.4805342499026,0.0217082827721856,-22.0600373792423,0.0128428706295855,-16.9939689635571,0.0130450731383661,-16.9576913223284,0.0150558900732422,-12.5678836167988,0.0409908761673076
-14.6560476243612,0.024737344850769,-21.0749399169762,0.0142738589211618,-15.8283247305723,0.0156030786397695,-15.5016578090015,0.0174679181575674,-10.038001547448,0.0304429553281135
-13.2116623791409,0.0274159019128542,-19.8732794406817,0.0161410788381742,-14.6373404055661,0.018406806245623,-13.2026575248012,0.0201402873713589,-7.48547057864009,0.0266826615520661
-12.0206780541348,0.0291401054457956,-17.9243483383877,0.0187052641177747,-14.0291781970523,0.0210502385724018,-9.73883042993934,0.0204113719447474,-4.95606532822517,0.0204564365832158
-10.7029932690216,0.0308029393569374,-16.6039175000425,0.0215300009316964,-13.1169348842816,0.0241025678386168,-8.06822355675378,0.0197852010288949,-2.5442356804302,0.0219037935754147
-9.09136341646001,0.0322513413633987,-15.4827969769193,0.0237443674792933,-11.6877536942742,0.0264638036860662,-6.36696334644554,0.0184788012763969,-0.0113337578184201,0.0239572873396392
-7.59702198982612,0.033086516985134,-14.8848660312535,0.0247237988368842,-9.84806301352,0.0263990136780569,-4.6197231304533,0.0174185108079015,2.52987276126095,0.0311965625913982
-6.36983753336079,0.0336694861072364,-13.9132282445467,0.026640077579997,-8.63173859649242,0.0235050599869757,-3.01042293151308,0.0167386132085157,4.99633791213209,0.0235314476189475
-4.31729007962674,0.0339062820755952,-13.4647800352974,0.0274491730493112,-7.41541417946483,0.020740686311913,-1.32448938976617,0.0166795204813743,7.45639666001397,0.0341166063904271
-1.35249931312201,0.0341904372376257,-12.0446940393413,0.0296635395969081,-6.27511003850147,0.0179979093061867,0.480651574124451,0.01667157078714,10.0040095820826,0.0423535632735211
1.00412924486893,0.0341904372376257,-11.5215044618838,0.0303022991779457,-4.75470451721699,0.0155790823405069,1.98990268662263,0.0166970760561417,12.545216101162,0.0496780064694186
3.28473752679565,0.0339694276671575,-10.3630132546564,0.0316862782701938,-2.06865476294774,0.0133906198477489,3.73331123547453,0.0171671017277427,15.0116812520331,0.0425238991617978
5.73333333333333,0.034010152284264,-9.42874615205372,0.0324740817534734,0.338653979086018,0.0129874820201356,5.65765962150887,0.0179929866287472,17.4864509993718,0.0322942827602924
8.45411629916288,0.0329859100207996,-6.76425606292332,0.0338174273858921,2.88533322723752,0.0137217687775741,7.25844500458169,0.0191579701538112,20.0193529219837,0.0246386308927459
9.89005484704266,0.0317593319624754,-4.12210900927033,0.0342626085803786,5.43201247538902,0.0164429491139639,8.94437854632859,0.0200130922636106,22.5522548445954,0.0208817782457546
11.1908462374749,0.0302212857679926,-1.7303852266074,0.0342626085803786,6.57231661635238,0.0187969860716345,10.7258064516129,0.0210122699386503,25.0270245919342,0.0176548594734018
12.7365918507808,0.028141615779216,0.287631715014442,0.0342626085803786,7.78864103337996,0.0216909397627158,12.3162456298224,0.0204900739176666,27.4934897428053,0.018676874803062
13.5930869611044,0.0266482225387666,0.810821292471971,0.0342626085803786,9.00496545040755,0.0245632967844606,13.986852503008,0.0196447564307562,30.0346962618847,0.0152701570375283
14.6497687983971,0.0247409625669522,2.95826960891414,0.0341908713692946,10.0692493153067,0.027111703766159,15.5129507869009,0.017391964507512,,
16.7403263901633,0.0214488408401862,5.25234870002184,0.0341908713692946,12.5018981493619,0.0256215335819455,16.6077128269963,0.0155680775160501,,
18.4127724635762,0.0184099592462483,7.07414794832052,0.0339219368038252,13.3381211860683,0.0228067676784311,17.8995320343089,0.0140065304343189,,
19.5023964204968,0.0166228074517182,9.63030274104153,0.0324173031240478,14.1743442227748,0.019646455065534,20.1788266017875,0.0119465375240991,,
21.0952022046995,0.0142330475043765,11.9223713660935,0.0298906541146103,15.0865875355455,0.0173500092260939,21.8570968092537,0.0111988687813663,,
23.2,0.0123857868020305,12.5203023117593,0.0290389746732269,15.9228105722519,0.0151039556151055,23.5047136795973,0.0104814088767236,,
24.4,0.0113197969543147,13.8656469395071,0.0267110508667789,17.0305345949021,0.0128147086654442,25.1906472213442,0.0100362259996046,,
26.2276568429784,0.010252732796235,14.4137503063674,0.0260013179989594,18.659540510564,0.0112257173579034,26.8765807630911,0.00985338303221645,,
