   0.0000E+00  2.2081E-01  2.6647E-25  0.0000E+00 -1.1533E-24  2.2081E-01
   5.2865E-02  2.1871E-01  1.3969E-07  9.7131E-04  2.3692E-07  2.1771E-01
   2.1145E-01  2.1338E-01  9.0456E-06  3.6472E-03  1.5192E-05  2.0973E-01
   4.7570E-01  2.0605E-01  1.0494E-04  7.3860E-03  1.7381E-04  1.9840E-01
   8.4556E-01  1.9794E-01  6.0206E-04  1.1338E-02  9.7660E-04  1.8503E-01
   1.3209E+00  1.8982E-01  2.3354E-03  1.4705E-02  3.6367E-03  1.6916E-01
   1.9017E+00  1.8143E-01  6.9917E-03  1.6953E-02  1.0033E-02  1.4748E-01
   2.5876E+00  1.7187E-01  1.7217E-02  1.7913E-02  2.1377E-02  1.1540E-01
   3.3786E+00  1.6065E-01  3.6034E-02  1.7723E-02  3.5728E-02  7.1184E-02
   4.2745E+00  1.4879E-01  6.5303E-02  1.6669E-02  4.6876E-02  1.9920E-02
   5.2749E+00  1.3861E-01  1.0382E-01  1.5040E-02  4.7118E-02 -2.7437E-02
   6.3796E+00  1.3216E-01  1.4658E-01  1.3024E-02  3.2688E-02 -6.0237E-02
   7.5884E+00  1.2964E-01  1.8615E-01  1.0739E-02  6.8152E-03 -7.4250E-02
   8.9008E+00  1.2951E-01  2.1568E-01  8.2879E-03 -2.2442E-02 -7.2372E-02
   1.0317E+01  1.2971E-01  2.3144E-01  5.7993E-03 -4.6876E-02 -6.1176E-02
   1.1835E+01  1.2875E-01  2.3342E-01  3.3879E-03 -6.1678E-02 -4.6919E-02
   1.3457E+01  1.2610E-01  2.2432E-01  1.2005E-03 -6.6274E-02 -3.3545E-02
   1.5180E+01  1.2190E-01  2.0792E-01 -6.0943E-04 -6.3036E-02 -2.2612E-02
   1.7005E+01  1.1655E-01  1.8778E-01 -1.8840E-03 -5.5087E-02 -1.4424E-02
   1.8932E+01  1.1045E-01  1.6664E-01 -2.5526E-03 -4.5165E-02 -8.6049E-03
   2.0959E+01  1.0398E-01  1.4628E-01 -2.5909E-03 -3.5211E-02 -4.5835E-03
   2.3086E+01  9.7353E-02  1.2768E-01 -2.1478E-03 -2.6089E-02 -1.9407E-03
   2.5312E+01  9.0624E-02  1.1118E-01 -1.4885E-03 -1.8032E-02 -5.3338E-04
   2.7638E+01  8.4007E-02  9.6842E-02 -8.3982E-04 -1.1365E-02  1.8736E-04
   3.0062E+01  7.7799E-02  8.4614E-02 -3.0734E-04 -6.4641E-03  8.5394E-04
   3.2583E+01  7.2001E-02  7.4295E-02  2.0377E-05 -2.9761E-03  1.4615E-03
   3.5202E+01  6.6546E-02  6.5655E-02  1.8688E-04 -3.6884E-04  1.6969E-03
   3.7917E+01  6.1524E-02  5.8489E-02  3.7887E-04  1.2979E-03  1.6437E-03
   4.0727E+01  5.6902E-02  5.2490E-02  6.0627E-04  2.1110E-03  1.4704E-03
   4.3633E+01  5.2625E-02  4.7362E-02  8.0722E-04  2.6826E-03  1.2164E-03
   4.6632E+01  4.8696E-02  4.2956E-02  8.2778E-04  3.2668E-03  9.4331E-04
   4.9725E+01  4.5161E-02  3.9160E-02  7.2817E-04  3.7662E-03  8.2320E-04
   5.2910E+01  4.2001E-02  3.5917E-02  5.0945E-04  3.9503E-03  7.2104E-04
   5.6186E+01  3.9146E-02  3.3205E-02  2.5686E-04  4.2192E-03  4.7794E-04
   5.9554E+01  3.6561E-02  3.0992E-02  9.2215E-05  4.5849E-03  3.0996E-04
   6.3011E+01  3.4219E-02  2.9157E-02  1.0335E-04  4.7814E-03  2.5761E-04
   6.6557E+01  3.2079E-02  2.7532E-02  1.5572E-04  4.6242E-03  2.8252E-04
   7.0191E+01  3.0074E-02  2.6055E-02  1.8597E-04  4.2313E-03  2.6761E-04
   7.3911E+01  2.8242E-02  2.4702E-02  1.4126E-04  3.7735E-03  2.7090E-04
   7.7718E+01  2.6557E-02  2.3437E-02 -5.7064E-05  3.4424E-03  2.3326E-04
   8.1610E+01  2.4993E-02  2.2190E-02 -2.4869E-04  3.1266E-03  1.8367E-04
   8.5585E+01  2.3546E-02  2.0976E-02 -3.4347E-04  2.9017E-03  1.4036E-04 
   8.9644E+01  2.2253E-02  1.9862E-02 -3.7743E-04  2.8677E-03  1.3351E-04 
   9.3784E+01  2.1056E-02  1.8885E-02 -4.0262E-04  2.6480E-03  1.8699E-04 
   9.8004E+01  1.9946E-02  1.8066E-02 -4.3764E-04  2.3822E-03  1.5201E-04
   1.0230E+02  1.8926E-02  1.7377E-02 -4.3651E-04  1.7879E-03  1.0657E-04
   1.0668E+02  1.7984E-02  1.6712E-02 -3.6116E-04  1.0287E-03  1.1892E-04 
   1.1114E+02  1.7107E-02  1.6077E-02 -3.1756E-04  3.8851E-04  1.5626E-04 
   1.1567E+02  1.6249E-02  1.5366E-02 -3.1399E-04  1.4531E-04  1.0997E-04 
   1.2028E+02  1.5421E-02  1.4605E-02 -4.2985E-04  3.7022E-04  3.8683E-05 
   1.2496E+02  1.4646E-02  1.3859E-02 -6.0796E-04  8.3526E-04  3.0048E-06 
   1.2971E+02  1.3922E-02  1.3183E-02 -7.5184E-04  1.3234E-03 -1.7041E-05 
   1.3453E+02  1.3239E-02  1.2597E-02 -8.1136E-04  1.6372E-03 -2.3166E-05 
   1.3943E+02  1.2617E-02  1.2071E-02 -7.7950E-04  1.6001E-03  3.6159E-05 
