y u k eps stress
7.57E-01 1.97E+01 0.997565 1.4384715 0.23753
7.69E-01 1.98E+01 0.97308 1.3934415 0.22605
7.81E-01 1.98E+01 0.9499 1.3503075 0.21462
7.93E-01 1.98E+01 0.92803 1.311163 0.20326
8.05E-01 1.99E+01 0.90737 1.2765215 0.19188
8.17E-01 1.99E+01 0.887795 1.2449215 0.18043
8.29E-01 1.99E+01 0.86935 1.2134005 0.16898
8.41E-01 2.00E+01 0.851845 1.183578 0.15752
8.53E-01 2.00E+01 0.835025 1.158693 0.14601
8.65E-01 2.00E+01 0.818875 1.1372445 0.13442
8.78E-01 2.00E+01 0.80337 1.1187585 0.12272
8.90E-01 2.00E+01 0.788675 1.101181 0.11094
9.02E-01 2.01E+01 0.775075 1.0836035 0.09912
9.14E-01 2.01E+01 0.762705 1.0681195 0.087301
9.26E-01 2.01E+01 0.751615 1.055914 0.075441
9.39E-01 2.01E+01 0.74185 1.0470265 0.063452
9.51E-01 2.01E+01 0.73343 1.041773 0.051252
9.63E-01 2.01E+01 0.72649 1.038297 0.038772
9.75E-01 2.01E+01 0.721225 1.036401 0.026001
9.88E-01 2.01E+01 0.717935 1.034189 0.013031
1.00E+00 2.01E+01 0.716815 1.0331225 0.00E+00
