y u k eps stress
0 0 8.435645E-28 136.5732 3.411E-32
0.0000753 0.0442 0.00022593526237 135.8062 0.000000083643
0.000301 0.177 0.00357171447 132.8916 0.0000054165
0.000678 0.398 0.01776309565 128.7321 0.000062838
0.0012 0.708 0.054857584 124.0357 0.000361
0.00188 1.1 0.130303225 119.2685 0.0014079
0.00271 1.59 0.261769515 114.5013 0.0042722
0.00369 2.16 0.4671721 109.386 0.010806
0.00482 2.81 0.7609925 103.486 0.023664
0.00609 3.53 1.14860855 96.819 0.045923
0.00752 4.31 1.620589 90.1402 0.080246
0.0091 5.13 2.1504655 84.6237 0.12791
0.0108 5.97 2.699089 81.0955 0.18812
0.0127 6.82 3.223826 79.5615 0.25805
0.0147 7.64 3.6887635 79.296 0.3335
0.0169 8.42 4.070975 79.355 0.40991
0.0192 9.15 4.36157 79.001 0.48325
0.0217 9.81 4.563435 77.8741 0.55066
0.0243 10.4 4.686465 75.9271 0.61046
0.0271 11 4.74392 73.2898 0.66206
0.03 11.5 4.749585 70.1392 0.70561
0.033 11.9 4.71626 66.6464 0.74172
0.0362 12.3 4.65479 62.9589 0.77121
0.0396 12.6 4.574135 59.2183 0.79495
0.0431 13 4.48123 55.51133 0.81381
0.0467 13.2 4.38211 51.85982 0.82863
0.0505 13.5 4.281045 48.31333 0.84013
0.0544 13.7 4.180955 44.93617 0.8489
0.0585 13.9 4.083595 41.77495 0.85537
0.0627 14.1 3.99001 38.83793 0.8599
0.067 14.3 3.90091 36.11154 0.8628
0.0715 14.5 3.81645 33.60404 0.86434
0.0761 14.6 3.736705 31.30009 0.86467
0.0809 14.8 3.661265 29.19969 0.86388
0.0858 14.9 3.58995 27.28632 0.86215
0.0908 15.1 3.52255 25.53756 0.85967
0.096 15.2 3.4591 23.93866 0.85663
0.101 15.3 3.39935 22.47959 0.85323
0.107 15.4 3.3432 21.14324 0.84963
0.112 15.6 3.2904 19.91663 0.84591
0.118 15.7 3.2404 18.79917 0.84195
0.124 15.8 3.19275 17.78319 0.8376
0.13 15.9 3.1472 16.85158 0.83283
0.136 16 3.10365 15.98664 0.82766
0.142 16.1 3.0619 15.17539 0.82219
0.149 16.2 3.0219 14.41252 0.81646
0.155 16.3 2.9833 13.69921 0.81043
0.162 16.4 2.9458 13.039 0.80407
0.169 16.5 2.9096 12.42363 0.79745
0.175 16.6 2.87455 11.84956 0.79067
0.182 16.7 2.8406 11.31561 0.78385
0.19 16.8 2.8078 10.8088 0.77705
0.197 16.9 2.77615 10.33326 0.77015
0.204 17 2.7454 9.89371 0.76297
0.212 17.1 2.71535 9.48189 0.75554
0.219 17.2 2.68615 9.09072 0.74804
0.227 17.3 2.65735 8.71784 0.74057
0.235 17.4 2.6284 8.36738 0.73311
0.243 17.4 2.59885 8.03875 0.72557
0.251 17.5 2.568655 7.72841 0.71796
0.259 17.6 2.538535 7.43282 0.71026
0.267 17.7 2.50869 7.15139 0.70242
0.276 17.8 2.47913 6.88117 0.69434
0.284 17.9 2.449625 6.62629 0.686
0.293 18 2.42002 6.38911 0.67752
0.302 18 2.3901 6.16432 0.66897
0.31 18.1 2.359955 5.94484 0.66034
0.319 18.2 2.329925 5.729195 0.65164
0.328 18.3 2.29996 5.525232 0.64292
0.338 18.4 2.26983 5.33655 0.63421
0.347 18.4 2.23958 5.15601 0.62543
0.356 18.5 2.20921 4.98078 0.61651
0.366 18.6 2.17838 4.813869 0.6075
0.375 18.7 2.146545 4.657047 0.59849
0.385 18.8 2.11388 4.50583 0.58941
0.394 18.8 2.08085 4.361162 0.58021
0.404 18.9 2.047785 4.219621 0.57095
0.414 19 2.01476 4.081325 0.5617
0.424 19.1 1.981625 3.950286 0.55239
0.434 19.1 1.94835 3.822315 0.54291
0.444 19.2 1.91477 3.693872 0.53325
0.455 19.3 1.880655 3.567966 0.52351
0.465 19.3 1.846195 3.446131 0.51368
0.475 19.4 1.81133 3.33055 0.50372
0.486 19.5 1.77615 3.221164 0.49369
0.496 19.5 1.74101 3.11756 0.4836
0.507 19.6 1.70594 3.01903 0.47332
0.518 19.7 1.670925 2.921975 0.46286
0.529 19.7 1.63601 2.825569 0.45232
0.539 19.8 1.60121 2.733116 0.44176
0.55 19.9 1.56655 2.64615 0.43112
0.561 19.9 1.53209 2.560364 0.42037
0.572 20 1.49802 2.474696 0.40954
0.584 20 1.464545 2.392332 0.39862
0.595 20.1 1.431705 2.314275 0.38766
0.606 20.1 1.399405 2.237339 0.3768
0.617 20.2 1.36726 2.163825 0.36606
0.629 20.3 1.3351 2.095798 0.35527
0.64 20.3 1.30309 2.032255 0.34436
0.652 20.4 1.271415 1.96942 0.33334
0.663 20.4 1.240355 1.906762 0.32224
0.675 20.5 1.209825 1.845933 0.31098
0.686 20.5 1.179845 1.786402 0.29953
0.698 20.6 1.1505 1.729526 0.28797
0.71 20.6 1.121645 1.675128 0.27642
0.721 20.7 1.09342 1.621615 0.26498
0.733 20.7 1.06578 1.568633 0.25368
0.745 20.7 1.03864 1.517893 0.24238
0.757 20.8 1.011785 1.468569 0.23102
0.769 20.8 0.985395 1.42072 0.21963
0.781 20.9 0.959635 1.375821 0.20819
0.793 20.9 0.93466 1.332574 0.19667
0.805 20.9 0.91053 1.291746 0.18512
0.817 21 0.887375 1.253514 0.17357
0.829 21 0.86511 1.217583 0.16201
0.841 21 0.84349 1.184543 0.1504
0.853 21.1 0.822545 1.154394 0.13873
0.865 21.1 0.80271 1.126841 0.12707
0.878 21.1 0.78444 1.10094 0.11551
0.89 21.2 0.76778 1.076514 0.10404
0.902 21.2 0.752445 1.055982 0.092622
0.914 21.2 0.738455 1.039226 0.081169
0.926 21.2 0.726065 1.025302 0.069647
0.939 21.2 0.715505 1.013207 0.058062
0.951 21.2 0.706975 1.002115 0.046422
0.963 21.3 0.700475 0.993147 0.034768
0.975 21.3 0.695915 0.987424 0.023138
0.988 21.3 0.69332 0.983943 0.011543
1 21.3 0.69253 0.982409 0
